Customer,Item,Description,Item Status,Month,Attribute,Units,Year
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,January,,18,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,February,,12,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,March,,6,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,April,,18,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,May,,30,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,June,,30,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,July,,12,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,August,,51,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,September,,24,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,October,,3,2024
Ecomm 1,101001532,BOSS PLUS ICON BLACK,,November,,6,2024
Ecomm 1,101001552,BACKPACK ERAS SLEEK BLACK,,May,,20,2024
Ecomm 1,101001552,BACKPACK ERAS SLEEK BLACK,,June,,32,2024
Ecomm 1,101001552,BACKPACK ERAS SLEEK BLACK,,July,,12,2024
Ecomm 1,101001552,BACKPACK ERAS SLEEK BLACK,,August,,8,2024
Ecomm 1,101001552,BACKPACK ERAS SLEEK BLACK,,September,,24,2024
Ecomm 1,101001552,BACKPACK ERAS SLEEK BLACK,,October,,52,2024
Ecomm 1,101001552,BACKPACK ERAS SLEEK BLACK,,November,,44,2024
Ecomm 1,101001552,BACKPACK ERAS SLEEK BLACK,,December,,28,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,January,,24,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,February,,225,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,March,,279,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,April,,177,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,May,,345,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,June,,9,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,July,,9,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,August,,27,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,September,,237,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,October,,75,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,November,,111,2024
Ecomm 1,101001556,BOSS PLUS DIAPER BAG BACKPACK CHAI LATTE (SAND),,December,,582,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,February,,15,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,March,,105,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,April,,225,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,June,,6,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,July,,15,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,August,,24,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,September,,45,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,October,,240,2024
Ecomm 1,101001591,BOSS PLUS BACKPACK BLACK,,December,,252,2024
Ecomm 1,101001623,BACKPACK ERAS SLEEK COGNAC,,May,,20,2024
Ecomm 1,101001623,BACKPACK ERAS SLEEK COGNAC,,June,,16,2024
Ecomm 1,101001623,BACKPACK ERAS SLEEK COGNAC,,July,,24,2024
Ecomm 1,101001623,BACKPACK ERAS SLEEK COGNAC,,August,,12,2024
Ecomm 1,101001623,BACKPACK ERAS SLEEK COGNAC,,September,,12,2024
Ecomm 1,101001623,BACKPACK ERAS SLEEK COGNAC,,October,,36,2024
Ecomm 1,101001623,BACKPACK ERAS SLEEK COGNAC,,November,,64,2024
Ecomm 1,101001623,BACKPACK ERAS SLEEK COGNAC,,December,,96,2024
Ecomm 1,101001624,BACKPACK ERAS SLEEK CHAI LATTE/SAND,,May,,20,2024
Ecomm 1,101001624,BACKPACK ERAS SLEEK CHAI LATTE/SAND,,June,,28,2024
Ecomm 1,101001624,BACKPACK ERAS SLEEK CHAI LATTE/SAND,,July,,20,2024
